Site	Product	ScenarioID	StepNumber	Rep	Time	Value	PotentialRevenue	Outlier	AdjustedDemand
cz_6	FG_01	1	1	1	01/01/2016	100	10500	False	
cz_6	FG_01	1	1	1	01/04/2016	94	9870	False	
cz_6	FG_01	1	1	1	01/07/2016	83	8715	False	
cz_6	FG_01	1	1	1	01/16/2016	96	10080	False	
cz_6	FG_01	1	1	1	01/23/2016	96	10080	False	
cz_2	FG_01	1	1	1	01/01/2016	88	9240	False	
cz_2	FG_01	1	1	1	01/03/2016	100	10500	False	
cz_2	FG_01	1	1	1	01/06/2016	100	10500	False	
cz_2	FG_01	1	1	1	01/08/2016	98	10290	False	
cz_2	FG_01	1	1	1	01/19/2016	98	10290	False	
cz_3	FG_01	1	1	1	01/01/2016	99	10395	False	
cz_3	FG_01	1	1	1	01/09/2016	92	9660	False	
cz_3	FG_01	1	1	1	01/13/2016	94	9870	False	
cz_3	FG_01	1	1	1	01/19/2016	98	10290	False	
cz_3	FG_01	1	1	1	01/21/2016	99	10395	False	
cz_3	FG_01	1	1	1	01/25/2016	93	9765	False	
cz_3	FG_01	1	1	1	01/28/2016	89	9345	False	
cz_4	FG_02	1	1	1	01/01/2016	95	11875	False	
cz_4	FG_02	1	1	1	01/04/2016	90	11250	False	
cz_4	FG_02	1	1	1	01/07/2016	57	7125	False	
cz_4	FG_02	1	1	1	01/13/2016	99	12375	False	
cz_4	FG_02	1	1	1	01/17/2016	4	500	False	
cz_4	FG_02	1	1	1	01/23/2016	77	9625	False	
cz_4	FG_02	1	1	1	01/26/2016	35	4375	False	
cz_4	FG_02	1	1	1	01/30/2016	6	750	False	
cz_4	FG_02	1	1	1	01/31/2016	51	6375	False	
cz_5	FG_01	1	1	1	01/03/2016	95	9975	False	
cz_5	FG_01	1	1	1	01/09/2016	96	10080	False	
cz_5	FG_01	1	1	1	01/12/2016	85	8925	False	
cz_5	FG_01	1	1	1	01/21/2016	99	10395	False	
cz_4	FG_01	1	1	1	01/04/2016	96	10080	False	
cz_4	FG_01	1	1	1	01/17/2016	94	9870	False	
cz_4	FG_01	1	1	1	01/20/2016	96	10080	False	
cz_4	FG_01	1	1	1	01/26/2016	92	9660	False	
cz_4	FG_01	1	1	1	01/31/2016	99	10395	False	
cz_3	FG_02	1	1	1	01/01/2016	87	10875	False	
cz_3	FG_02	1	1	1	01/03/2016	86	10750	False	
cz_3	FG_02	1	1	1	01/09/2016	96	12000	False	
cz_3	FG_02	1	1	1	01/13/2016	5	625	False	
cz_3	FG_02	1	1	1	01/16/2016	98	12250	False	
cz_3	FG_02	1	1	1	01/19/2016	61	7625	False	
cz_3	FG_02	1	1	1	01/21/2016	10	1250	False	
cz_3	FG_02	1	1	1	01/25/2016	4	500	False	
cz_3	FG_02	1	1	1	01/28/2016	78	9750	False	
cz_3	FG_02	1	1	1	01/31/2016	83	10375	False	
cz_7	FG_02	1	1	1	01/01/2016	56	7000	False	
cz_7	FG_02	1	1	1	01/09/2016	40	5000	False	
cz_7	FG_02	1	1	1	01/12/2016	73	9125	False	
cz_7	FG_02	1	1	1	01/15/2016	66	8250	False	
cz_7	FG_02	1	1	1	01/19/2016	41	5125	False	
cz_7	FG_02	1	1	1	01/24/2016	98	12250	False	
cz_8	FG_02	1	1	1	01/01/2016	4	500	False	
cz_8	FG_02	1	1	1	01/04/2016	55	6875	False	
cz_8	FG_02	1	1	1	01/06/2016	78	9750	False	
cz_8	FG_02	1	1	1	01/10/2016	36	4500	False	
cz_8	FG_02	1	1	1	01/12/2016	96	12000	False	
cz_8	FG_02	1	1	1	01/15/2016	7	875	False	
cz_8	FG_02	1	1	1	01/18/2016	95	11875	False	
cz_8	FG_02	1	1	1	01/21/2016	54	6750	False	
cz_8	FG_02	1	1	1	01/28/2016	5	625	False	
cz_8	FG_02	1	1	1	01/31/2016	96	12000	False	
cz_1	FG_01	1	1	1	01/01/2016	142.5	14962.5	False	
cz_1	FG_01	1	1	1	01/04/2016	142.5	14962.5	False	
cz_1	FG_01	1	1	1	01/07/2016	139.5	14647.5	False	
cz_1	FG_01	1	1	1	01/09/2016	142.5	14962.5	False	
cz_1	FG_01	1	1	1	01/12/2016	136.5	14332.5	False	
cz_1	FG_01	1	1	1	01/15/2016	144	15120	False	
cz_1	FG_01	1	1	1	01/21/2016	132	13860	False	
cz_5	FG_02	1	1	1	01/01/2016	44	5500	False	
cz_5	FG_02	1	1	1	01/06/2016	46	5750	False	
cz_5	FG_02	1	1	1	01/12/2016	5	625	False	
cz_5	FG_02	1	1	1	01/16/2016	94	11750	False	
