SiteName	ProductName	PeriodName	ScenarioID	StepNumber	StatisticSource	TotalDemandQty	NonZeroDemandQtyMean	NonZeroDemandQtyStdDev	DemandQtyMean	DemandQtyStdDev	DemandIntervalMean	COV	MinDemand	MaxDemand	AggregationPeriodCount	OrderCount	Outliers	PotentialRevenue	CostOfGoods	TotalWeight	TotalCube	Intermittency	Variability	Clumpiness	DemandClass	DemandClassDetails
cz_6	FG_01	PERIOD_001	5	1	Guru Calculation from Demand	469	93.8	6.41872261435249	15.1290322580645	35.1480126849147	6	0.00468264828765099	83	100	31	5	0	49245	46900	14070	469	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_01	PERIOD_001	5	1	Guru Calculation from Demand	484	96.8	5.01996015920445	15.6129032258065	36.2378047710351	6	0.00268936548049997	88	100	31	5	0	50820	48400	14520	484	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_01	PERIOD_001	5	1	Guru Calculation from Demand	664	94.8571428571429	3.89138242053607	21.4193548387097	40.3540780207308	4.28571428571429	0.00168293656553927	89	99	31	7	0	69720	66400	19920	664	Intermittent	LowVariable		Slow	Slow-LowVariable
cz_4	FG_02	PERIOD_001	5	1	Guru Calculation from Demand	514	57.1111111111111	36.4466886165412	16.5806451612903	32.3828907434655	3.75	0.407262979000439	4	99	31	9	0	64250	61680	15420	514	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_5	FG_01	PERIOD_001	5	1	Guru Calculation from Demand	375	93.75	6.07590871118606	12.0967741935484	32.0055774709239	6	0.0042002962962963	85	99	31	4	0	39375	37500	11250	375	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_4	FG_01	PERIOD_001	5	1	Guru Calculation from Demand	477	95.4	2.60768096208106	15.3870967741936	35.6806926496248	6	0.000747157505197139	92	99	31	5	0	50085	47700	14310	477	Intermittent	LowVariable		Slow	Slow-LowVariable
cz_3	FG_02	PERIOD_001	5	1	Guru Calculation from Demand	608	60.8	38.9495400058417	19.6129032258065	35.9144143943671	3.33333333333333	0.410390697137581	4	98	31	10	0	76000	72960	18240	608	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_02	PERIOD_001	5	1	Guru Calculation from Demand	374	62.3333333333333	21.8784521085626	12.0645161290323	26.5793597663939	5	0.123194829706311	40	98	31	6	0	46750	44880	11220	374	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_01	PERIOD_001	5	1	Guru Calculation from Demand	653	93.2857142857143	2.87020822207993	21.0645161290323	39.6694134767758	4.28571428571429	0.00094666544718021	88	96	31	7	0	68565	65300	19590	653	Intermittent	LowVariable		Slow	Slow-LowVariable
cz_5	FG_02	PERIOD_001	5	1	Guru Calculation from Demand	472	59	29.616597663183	15.2258064516129	29.8894738187425	4.28571428571429	0.251980137070628	5	95	31	8	0	59000	56640	14160	472	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_02	PERIOD_001	5	1	Guru Calculation from Demand	522	58	25.8698666405531	16.8387096774194	29.9110868789412	3.75	0.198944708680143	8	94	31	9	0	65250	62640	15660	522	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_01	PERIOD_001	5	1	Guru Calculation from Demand	181	90.5		5.83870967741936	22.6098750906082	10		88	93	31	2	0	19005	18100	5430	181				ExtremelySlow	ExtremelySlow
cz_2	FG_02	PERIOD_001	5	1	Guru Calculation from Demand	726	66	19.1833260932509	23.4193548387097	33.9575953148908	3	0.0844811753902663	31	93	31	11	0	90750	87120	21780	726	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_02	PERIOD_001	5	1	Guru Calculation from Demand	374	46.75	31.8108247524105	12.0645161290323	25.855928377416	4.28571428571429	0.463006009404248	4	88	31	8	0	46750	44880	11220	374	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_01	PERIOD_002	5	1	Guru Calculation from Demand	371	92.75	5.85234995535981	12.7931034482759	32.6051916443914	5.6	0.00398137182961472	86	100	29	4	0	38955	37100	11130	371	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_01	PERIOD_002	5	1	Guru Calculation from Demand	622	88.8571428571428	6.61887632529298	21.448275862069	38.8178771470942	3.5	0.00554860543901187	78	100	29	7	0	65310	62200	18660	622	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_4	FG_01	PERIOD_002	5	1	Guru Calculation from Demand	374	93.5	5.8022983951764	12.8965517241379	32.8669882443792	5.6	0.00385102995986922	86	99	29	4	0	39270	37400	11220	374	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_01	PERIOD_002	5	1	Guru Calculation from Demand	365	91.25	7.41057802513857	12.5862068965517	32.1142127429355	5.6	0.00659535872896729	83	98	29	4	0	38325	36500	10950	365	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_02	PERIOD_002	5	1	Guru Calculation from Demand	470	67.1428571428572	32.6926524437759	16.2068965517241	32.9245667184256	3.5	0.237083144711031	2	96	29	7	0	58750	56400	14100	470	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_01	PERIOD_002	5	1	Guru Calculation from Demand	456	91.2	5.40370243444252	15.7241379310345	35.1190796248219	4.66666666666667	0.00351069559864574	82	96	29	5	0	47880	45600	13680	456	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_01	PERIOD_002	5	1	Guru Calculation from Demand	277	92.3333333333333	5.5075705472861	9.55172413793104	28.6550746028101	7	0.00355797677540435	86	96	29	3	0	29085	27700	8310	277	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_02	PERIOD_002	5	1	Guru Calculation from Demand	384	64	21.4476105895272	13.2413793103448	27.897331122239	4	0.1123046875	37	95	29	6	0	48000	46080	11520	384	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_5	FG_01	PERIOD_002	5	1	Guru Calculation from Demand	623	89	6.6332495807108	21.4827586206897	38.8804217070523	3.5	0.00555485418507764	77	95	29	7	0	65415	62300	18690	623	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_02	PERIOD_002	5	1	Guru Calculation from Demand	570	71.25	22.3207142742853	19.6551724137931	34.2764765880427	3.11111111111111	0.0981400870597546	37	94	29	8	0	71250	68400	17100	570	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_4	FG_02	PERIOD_002	5	1	Guru Calculation from Demand	311	44.4285714285714	28.84358474518	10.7241379310345	23.5082000157455	3.5	0.421476894021636	8	85	29	7	0	38875	37320	9330	311	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_02	PERIOD_002	5	1	Guru Calculation from Demand	365	45.625	27.7999871531317	12.5862068965517	24.977871980414	3.11111111111111	0.371264509556872	6	81	29	8	0	45625	43800	10950	365	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_02	PERIOD_002	5	1	Guru Calculation from Demand	317	45.2857142857143	32.4073771730774	10.9310344827586	24.778923985751	3.5	0.512112436850468	2	79	29	7	0	39625	38040	9510	317	Intermittent	HighlyVariable		Lumpy	Lumpy
cz_5	FG_02	PERIOD_002	5	1	Guru Calculation from Demand	325	54.1666666666667	12.7814970432523	11.2068965517241	22.9741769794213	4	0.05568	39	70	29	6	0	40625	39000	9750	325	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_01	PERIOD_003	5	1	Guru Calculation from Demand	277	92.3333333333333	11.5902257671425	8.93548387096774	27.9104944227925	7.5	0.0157567542910764	79	100	31	3	0	29085	27700	8310	277	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_01	PERIOD_003	5	1	Guru Calculation from Demand	285	95	3.60555127546399	9.19354838709677	28.5662030551708	10	0.0014404432132964	92	99	31	3	0	29925	28500	8550	285	Intermittent	LowVariable		Slow	Slow-LowVariable
cz_5	FG_01	PERIOD_003	5	1	Guru Calculation from Demand	182	91		5.87096774193548	22.7972833695653	10		84	98	31	2	0	19110	18200	5460	182				ExtremelySlow	ExtremelySlow
cz_4	FG_02	PERIOD_003	5	1	Guru Calculation from Demand	611	61.1	31.060693274083	19.7096774193548	33.6513432603486	3.33333333333333	0.258428180216668	5	97	31	10	0	76375	73320	18330	611	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_02	PERIOD_003	5	1	Guru Calculation from Demand	568	56.8	37.7176645913055	18.3225806451613	33.9895936003695	3.33333333333333	0.440953624721726	4	97	31	10	0	71000	68160	17040	568	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_01	PERIOD_003	5	1	Guru Calculation from Demand	97	97		3.12903225806452	17.4217142965972			97	97	31	1	0	10185	9700	2910	97				ExtremelySlow	ExtremelySlow
cz_4	FG_01	PERIOD_003	5	1	Guru Calculation from Demand	186	93		6	23.2379000772445	15		90	96	31	2	0	19530	18600	5580	186				ExtremelySlow	ExtremelySlow
cz_6	FG_01	PERIOD_003	5	1	Guru Calculation from Demand	96	96		3.09677419354839	17.2421089945704			96	96	31	1	0	10080	9600	2880	96				ExtremelySlow	ExtremelySlow
cz_7	FG_02	PERIOD_003	5	1	Guru Calculation from Demand	593	65.8888888888889	28.8506691622761	19.1290322580645	33.8563060945164	3.33333333333333	0.191728826187477	8	95	31	9	0	74125	71160	17790	593	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_02	PERIOD_003	5	1	Guru Calculation from Demand	621	56.4545454545455	26.7632719836855	20.0322580645161	31.507124983584	3	0.224740108027933	7	94	31	11	0	77625	74520	18630	621	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_5	FG_02	PERIOD_003	5	1	Guru Calculation from Demand	607	67.4444444444444	21.0660337457666	19.5806451612903	32.9664214957669	3.75	0.0975603136390654	37	92	31	9	0	75875	72840	18210	607	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_02	PERIOD_003	5	1	Guru Calculation from Demand	506	56.2222222222222	26.242988481582	16.3225806451613	29.2681705347569	3.75	0.217876587667359	6	88	31	9	0	63250	60720	15180	506	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_02	PERIOD_003	5	1	Guru Calculation from Demand	573	52.0909090909091	15.2738635940913	18.4838709677419	26.8264433817852	3	0.0859753478979926	41	82	31	11	0	71625	68760	17190	573	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_3	FG_01	PERIOD_004	5	1	Guru Calculation from Demand	471	94.2	4.91934955049954	15.7	35.7531286308842	4.83333333333333	0.0027271784746733	88	100	30	5	0	49455	47100	14130	471	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_01	PERIOD_004	5	1	Guru Calculation from Demand	640	91.4285714285714	6.29436633975554	21.3333333333333	39.4350914387378	3.625	0.00473958333333333	84	100	30	7	0	67200	64000	19200	640	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_01	PERIOD_004	5	1	Guru Calculation from Demand	653	93.2857142857143	7.20449595077698	21.7666666666667	40.2635141873215	3.625	0.00596453952269613	79	100	30	7	0	68565	65300	19590	653	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_1	FG_02	PERIOD_004	5	1	Guru Calculation from Demand	461	76.8333333333333	17.1045802832653	15.3666666666667	32.0554297227887	4.14285714285714	0.0495593376654542	53	99	30	6	0	57625	55320	13830	461	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_2	FG_02	PERIOD_004	5	1	Guru Calculation from Demand	452	64.5714285714286	35.9437391064477	15.0666666666667	32.2318468912811	4.14285714285714	0.309860143054794	7	99	30	7	0	56500	54240	13560	452	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_6	FG_02	PERIOD_004	5	1	Guru Calculation from Demand	414	59.1428571428571	32.9516239935079	13.8	29.5289454720221	4.14285714285714	0.310419535267256	2	99	30	7	0	51750	49680	12420	414	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_01	PERIOD_004	5	1	Guru Calculation from Demand	276	92	6	9.2	28.1160158064329	7.25	0.00425330812854442	86	98	30	3	0	28980	27600	8280	276	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_7	FG_02	PERIOD_004	5	1	Guru Calculation from Demand	437	54.625	36.7459910349804	14.5666666666667	30.4887580563081	3.625	0.452519219648963	4	98	30	8	0	54625	52440	13110	437	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_5	FG_01	PERIOD_004	5	1	Guru Calculation from Demand	465	93	5.33853912601566	15.5	35.3072718894545	4.83333333333333	0.00329517863336802	84	97	30	5	0	48825	46500	13950	465	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
cz_5	FG_02	PERIOD_004	5	1	Guru Calculation from Demand	564	70.5	31.350552512789	18.8	35.2521948448506	3.22222222222222	0.197748029346038	7	97	30	8	0	70500	67680	16920	564	Intermittent	HighlyVariable		Slow	Slow-HighlyVariable
