SourceName	CustomerName	FlowUnits	Distance	FlowXDistance	ScenarioID	ScenarioStepNumber	
GREENFIELD_DC_1	CZ_COLUMBIA_SC	2154.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_1	CZ_SUMTER_SC	6689.00000	46.81525	313147.20029	0	1	
GREENFIELD_DC_1	CZ_ATHENS _GA	1923.00000	154.41174	296933.77951	0	1	
GREENFIELD_DC_1	CZ_AUGUSTA _GA	3264.00000	75.81575	247462.59215	0	1	
GREENFIELD_DC_1	CZ_CHARLESTON_SC	2001.00000	123.89387	247911.62503	0	1	
GREENFIELD_DC_1	CZ_CHARLOTTE_NC	12189.00000	96.06467	1170932.20272	0	1	
GREENFIELD_DC_1	CZ_KNOXVILLE_TN	2982.00000	247.99357	739516.82743	0	1	
GREENFIELD_DC_1	CZ_MYRTLE BEACH_SC	12608.00000	146.60502	1848396.15274	0	1	
GREENFIELD_DC_1	CZ_SAVANNAH_GA	2271.00000	156.13905	354591.78881	0	1	
GREENFIELD_DC_1	CZ_SPARTANBURG_SC	3927.00000	97.02309	381009.66985	0	1	
GREENFIELD_DC_2	CZ_CORAL SPRINGS_FL	2019.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_2	CZ_POMPANO BEACH_FL	11278.00000	9.86212	111224.94566	0	1	
GREENFIELD_DC_2	CZ_LAKE WORTH_FL	2661.00000	31.20592	83038.96555	0	1	
GREENFIELD_DC_2	CZ_FORT LAUDERDALE_FL	2760.00000	14.82764	40924.28182	0	1	
GREENFIELD_DC_2	CZ_HOLLYWOOD_FL	2346.00000	22.42110	52599.88975	0	1	
GREENFIELD_DC_2	CZ_MIAMI GARDENS_FL	1785.00000	27.97651	49938.07394	0	1	
GREENFIELD_DC_2	CZ_MIRAMAR_FL	2034.00000	23.60071	48003.83578	0	1	
GREENFIELD_DC_2	CZ_PEMBROKE PINES_FL	2580.00000	21.46191	55371.72835	0	1	
GREENFIELD_DC_2	CZ_HIALEAH_FL	3744.00000	33.03189	123671.41445	0	1	
GREENFIELD_DC_2	CZ_MIAMI_FL	6657.00000	40.10412	266973.13133	0	1	
GREENFIELD_DC_2	CZ_FORT PIERCE_FL	13809.00000	95.23253	1315066.04329	0	1	
GREENFIELD_DC_2	CZ_PORT SAINT LUCIE_FL	2742.00000	82.30697	225685.71937	0	1	
GREENFIELD_DC_2	CZ_CAPE CORAL_FL	2571.00000	125.43202	322485.72457	0	1	
GREENFIELD_DC_2	CZ_FORT MYERS_FL	9408.00000	120.60602	1134661.40239	0	1	
GREENFIELD_DC_2	CZ_HOMESTEAD_FL	5254.00000	66.19998	347814.66888	0	1	
GREENFIELD_DC_3	CZ_HOLYOKE_MA	7385.00000	8.20382	60585.21137	0	1	
GREENFIELD_DC_3	CZ_SPRINGFIELD_MA	2550.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_3	CZ_HARTFORD_CT	2079.00000	25.79473	53627.24220	0	1	
GREENFIELD_DC_3	CZ_FALL RIVER_MA	10799.00000	93.45230	1009191.41352	0	1	
GREENFIELD_DC_3	CZ_NEW BEDFORD_MA	7459.00000	107.17739	799436.12620	0	1	
GREENFIELD_DC_3	CZ_PROVIDENCE_RI	2967.00000	74.60804	221362.05973	0	1	
GREENFIELD_DC_3	CZ_BOSTON_MA	10293.00000	94.41179	971780.59477	0	1	
GREENFIELD_DC_3	CZ_CHELSEA_MA	9922.00000	96.45607	957037.09507	0	1	
GREENFIELD_DC_3	CZ_CAMBRIDGE_MA	1752.00000	91.22022	159817.83209	0	1	
GREENFIELD_DC_3	CZ_BROCKTON_MA	13021.00000	94.76025	1233873.15354	0	1	
GREENFIELD_DC_3	CZ_BRIDGEPORT_CT	2403.00000	82.98580	199414.88027	0	1	
GREENFIELD_DC_3	CZ_NEW HAVEN_CT	2163.00000	67.68015	146392.16104	0	1	
GREENFIELD_DC_3	CZ_WATERBURY_CT	1839.00000	52.06304	95743.92445	0	1	
GREENFIELD_DC_3	CZ_LOWELL_MA	1776.00000	89.03971	158134.52942	0	1	
GREENFIELD_DC_3	CZ_MANCHESTER_NH	1827.00000	98.33468	179657.46388	0	1	
GREENFIELD_DC_3	CZ_ALBANY_NY	4148.00000	82.06199	340393.12938	0	1	
GREENFIELD_DC_3	CZ_SCHENECTADY_NY	6877.00000	98.44459	677003.47372	0	1	
GREENFIELD_DC_3	CZ_NEW LONDON_CT	12070.00000	67.67891	816884.50240	0	1	
GREENFIELD_DC_3	CZ_WORCESTER_MA	3018.00000	49.20185	148491.18036	0	1	
GREENFIELD_DC_4	CZ_FAIRFIELD_CA	1755.00000	56.16712	98573.30060	0	1	
GREENFIELD_DC_4	CZ_VALLEJO_CA	1932.00000	49.07482	94812.54470	0	1	
GREENFIELD_DC_4	CZ_ANTIOCH_CA	1707.00000	38.42725	65595.31736	0	1	
GREENFIELD_DC_4	CZ_CONCORD_CA	2034.00000	31.82744	64737.00598	0	1	
GREENFIELD_DC_4	CZ_FREMONT_CA	3567.00000	0.00000	0.00000	0	1	
GREENFIELD_DC_4	CZ_HAYWARD_CA	2403.00000	10.36488	24906.79633	0	1	
GREENFIELD_DC_4	CZ_SAN JOSE_CA	1500.00000	15.12949	22694.23826	0	1	
GREENFIELD_DC_4	CZ_SANTA CLARA_CA	1941.00000	16.14579	31338.97565	0	1	
GREENFIELD_DC_4	CZ_SUNNYVALE_CA	2334.00000	14.89657	34768.59873	0	1	
GREENFIELD_DC_4	CZ_MODESTO_CA	3354.00000	62.54517	209776.50093	0	1	
GREENFIELD_DC_4	CZ_STOCKTON_CA	4863.00000	55.28370	268844.64044	0	1	
GREENFIELD_DC_4	CZ_ELK GROVE_CA	2550.00000	79.58492	202941.55832	0	1	
GREENFIELD_DC_4	CZ_SACRAMENTO_CA	42774.00000	88.58358	3789073.95496	0	1	
GREENFIELD_DC_4	CZ_ROSEVILLE_CA	1980.00000	105.89328	209668.68804	0	1	
GREENFIELD_DC_4	CZ_BERKELEY_CA	1875.00000	30.88005	57900.09044	0	1	
GREENFIELD_DC_4	CZ_OAKLAND_CA	6513.00000	23.54652	153358.51260	0	1	
GREENFIELD_DC_4	CZ_RICHMOND_CA	1728.00000	38.57951	66665.39173	0	1	
GREENFIELD_DC_4	CZ_DALY CITY_CA	1686.00000	32.05319	54041.67549	0	1	
GREENFIELD_DC_4	CZ_SAN FRANCISCO_CA	1332.00000	32.57364	43388.08576	0	1	
GREENFIELD_DC_4	CZ_SANTA ROSA_CA	2796.00000	86.18120	240962.63399	0	1	
