DCname	Lat	Long	ScenarioID	ScenarioStepNumber	
GREENFIELD_DC_1	34.00570	-81.03365	0	1	
GREENFIELD_DC_2	26.27249	-80.25331	0	1	
GREENFIELD_DC_3	42.10580	-72.59658	0	1	
GREENFIELD_DC_4	37.55708	-121.99197	0	1	
GREENFIELD_DC_5	35.77042	-78.78870	0	1	
GREENFIELD_DC_6	41.88425	-87.63245	0	1	
GREENFIELD_DC_7	33.42538	-111.94012	0	1	
GREENFIELD_DC_8	32.64144	-97.12798	0	1	
GREENFIELD_DC_9	40.75362	-74.06342	0	1	
GREENFIELD_DC_10	33.74968	-117.86546	0	1	
GREENFIELD_DC_11	33.51908	-86.80163	0	1	
GREENFIELD_DC_12	41.26068	-95.94056	0	1	
GREENFIELD_DC_13	39.29291	-76.62033	0	1	
GREENFIELD_DC_14	44.94043	-123.03316	0	1	
GREENFIELD_DC_15	30.22080	-97.74844	0	1	
GREENFIELD_DC_16	39.10189	-84.51320	0	1	
GREENFIELD_DC_17	29.20357	-81.03940	0	1	
GREENFIELD_DC_18	40.57654	-105.09612	0	1	
GREENFIELD_DC_19	41.09810	-80.65079	0	1	
MFG_ANN ARBOR_MI	42.28210	-83.74847	0	1	
