Site	Product	ScenarioID	StepNumber	Rep	Time	Value	PotentialRevenue	Outlier	AdjustedDemand
cz_1	FG_01	1	1	1	01.01.2016	979.5	102847.5	False	
cz_1	FG_02	1	1	1	01.01.2016	783	97875	False	
cz_2	FG_01	1	1	1	01.01.2016	484	50820	False	
cz_2	FG_02	1	1	1	01.01.2016	726	90750	False	
cz_3	FG_01	1	1	1	01.01.2016	664	69720	False	
cz_3	FG_02	1	1	1	01.01.2016	608	76000	False	
cz_4	FG_01	1	1	1	01.01.2016	477	50085	False	
cz_4	FG_02	1	1	1	01.01.2016	514	64250	False	
cz_5	FG_01	1	1	1	01.01.2016	375	39375	False	
cz_5	FG_02	1	1	1	01.01.2016	472	59000	False	
cz_6	FG_01	1	1	1	01.01.2016	469	49245	False	
cz_6	FG_02	1	1	1	01.01.2016	374	46750	False	
cz_7	FG_01	1	1	1	01.01.2016	181	19005	False	
cz_7	FG_02	1	1	1	01.01.2016	374	46750	False	
cz_8	FG_01	1	1	1	01.01.2016	361	37905	False	
cz_8	FG_02	1	1	1	01.01.2016	526	65750	False	
cz_1	FG_01	1	1	1	02.01.2016	684	71820	False	
cz_1	FG_02	1	1	1	02.01.2016	547.5	68437.5	False	
cz_2	FG_01	1	1	1	02.01.2016	622	65310	False	
cz_2	FG_02	1	1	1	02.01.2016	384	48000	False	
cz_3	FG_01	1	1	1	02.01.2016	371	38955	False	
cz_3	FG_02	1	1	1	02.01.2016	317	39625	False	
cz_4	FG_01	1	1	1	02.01.2016	374	39270	False	
cz_4	FG_02	1	1	1	02.01.2016	311	38875	False	
cz_5	FG_01	1	1	1	02.01.2016	623	65415	False	
cz_5	FG_02	1	1	1	02.01.2016	325	40625	False	
cz_6	FG_01	1	1	1	02.01.2016	277	29085	False	
cz_6	FG_02	1	1	1	02.01.2016	570	71250	False	
cz_7	FG_01	1	1	1	02.01.2016	365	38325	False	
cz_7	FG_02	1	1	1	02.01.2016	470	58750	False	
cz_8	FG_01	1	1	1	02.01.2016	568	59640	False	
cz_8	FG_02	1	1	1	02.01.2016	353	44125	False	
cz_1	FG_01	1	1	1	03.01.2016	145.5	15277.5	False	
cz_1	FG_02	1	1	1	03.01.2016	931.5	116437.5	False	
cz_2	FG_01	1	1	1	03.01.2016	285	29925	False	
cz_2	FG_02	1	1	1	03.01.2016	506	63250	False	
cz_3	FG_02	1	1	1	03.01.2016	568	71000	False	
cz_4	FG_01	1	1	1	03.01.2016	186	19530	False	
cz_4	FG_02	1	1	1	03.01.2016	611	76375	False	
cz_5	FG_01	1	1	1	03.01.2016	182	19110	False	
cz_5	FG_02	1	1	1	03.01.2016	607	75875	False	
cz_6	FG_01	1	1	1	03.01.2016	96	10080	False	
cz_6	FG_02	1	1	1	03.01.2016	573	71625	False	
cz_7	FG_01	1	1	1	03.01.2016	277	29085	False	
cz_7	FG_02	1	1	1	03.01.2016	593	74125	False	
cz_8	FG_01	1	1	1	03.01.2016	187	19635	False	
cz_8	FG_02	1	1	1	03.01.2016	618	77250	False	
cz_1	FG_01	1	1	1	04.01.2016	979.5	102847.5	False	
cz_1	FG_02	1	1	1	04.01.2016	691.5	86437.5	False	
cz_2	FG_01	1	1	1	04.01.2016	273	28665	False	
cz_2	FG_02	1	1	1	04.01.2016	452	56500	False	
cz_3	FG_01	1	1	1	04.01.2016	471	49455	False	
cz_3	FG_02	1	1	1	04.01.2016	350	43750	False	
cz_4	FG_01	1	1	1	04.01.2016	358	37590	False	
cz_4	FG_02	1	1	1	04.01.2016	408	51000	False	
cz_5	FG_01	1	1	1	04.01.2016	465	48825	False	
cz_5	FG_02	1	1	1	04.01.2016	564	70500	False	
cz_6	FG_01	1	1	1	04.01.2016	640	67200	False	
cz_6	FG_02	1	1	1	04.01.2016	414	51750	False	
cz_7	FG_01	1	1	1	04.01.2016	276	28980	False	
cz_7	FG_02	1	1	1	04.01.2016	437	54625	False	
cz_8	FG_01	1	1	1	04.01.2016	483	50715	False	
cz_8	FG_02	1	1	1	04.01.2016	362	45250	False	
cz_1	FG_02	1	1	1	05.01.2016	762	95250	False	
cz_2	FG_01	1	1	1	05.01.2016	288	30240	False	
cz_2	FG_02	1	1	1	05.01.2016	581	72625	False	
cz_3	FG_02	1	1	1	05.01.2016	301	37625	False	
cz_4	FG_02	1	1	1	05.01.2016	436	54500	False	
cz_5	FG_02	1	1	1	05.01.2016	533	66625	False	
cz_6	FG_02	1	1	1	05.01.2016	272	34000	False	
cz_7	FG_02	1	1	1	05.01.2016	373	46625	False	
cz_8	FG_01	1	1	1	05.01.2016	97	10185	False	
cz_8	FG_02	1	1	1	05.01.2016	464	58000	False	
cz_1	FG_02	1	1	1	06.01.2016	880.5	110062.5	False	
cz_2	FG_02	1	1	1	06.01.2016	512	64000	False	
cz_3	FG_02	1	1	1	06.01.2016	548	68500	False	
cz_4	FG_02	1	1	1	06.01.2016	384	48000	False	
cz_5	FG_02	1	1	1	06.01.2016	555	69375	False	
cz_6	FG_02	1	1	1	06.01.2016	677	84625	False	
cz_7	FG_02	1	1	1	06.01.2016	511	63875	False	
cz_8	FG_02	1	1	1	06.01.2016	414	51750	False	
cz_1	FG_02	1	1	1	07.01.2016	720	90000	False	
cz_2	FG_02	1	1	1	07.01.2016	471	58875	False	
cz_3	FG_02	1	1	1	07.01.2016	545	68125	False	
cz_4	FG_02	1	1	1	07.01.2016	455	56875	False	
cz_5	FG_02	1	1	1	07.01.2016	451	56375	False	
cz_6	FG_02	1	1	1	07.01.2016	392	49000	False	
cz_7	FG_02	1	1	1	07.01.2016	476	59500	False	
cz_8	FG_02	1	1	1	07.01.2016	665	83125	False	
cz_1	FG_02	1	1	1	08.01.2016	643.5	80437.5	False	
cz_2	FG_02	1	1	1	08.01.2016	595	74375	False	
cz_3	FG_02	1	1	1	08.01.2016	443	55375	False	
cz_4	FG_02	1	1	1	08.01.2016	481	60125	False	
cz_5	FG_02	1	1	1	08.01.2016	465	58125	False	
cz_6	FG_02	1	1	1	08.01.2016	421	52625	False	
cz_7	FG_02	1	1	1	08.01.2016	349	43625	False	
cz_8	FG_02	1	1	1	08.01.2016	520	65000	False	
cz_1	FG_01	1	1	1	09.01.2016	300	31500	False	
cz_1	FG_02	1	1	1	09.01.2016	789	98625	False	
cz_2	FG_02	1	1	1	09.01.2016	456	57000	False	
cz_3	FG_01	1	1	1	09.01.2016	200	21000	False	
cz_3	FG_02	1	1	1	09.01.2016	280	35000	False	
cz_4	FG_02	1	1	1	09.01.2016	453	56625	False	
cz_5	FG_01	1	1	1	09.01.2016	400	42000	False	
cz_5	FG_02	1	1	1	09.01.2016	440	55000	False	
cz_6	FG_02	1	1	1	09.01.2016	458	57250	False	
cz_7	FG_02	1	1	1	09.01.2016	585	73125	False	
cz_8	FG_02	1	1	1	09.01.2016	368	46000	False	
cz_1	FG_02	1	1	1	10.01.2016	918	114750	False	
cz_2	FG_02	1	1	1	10.01.2016	234	29250	False	
cz_3	FG_02	1	1	1	10.01.2016	644	80500	False	
cz_4	FG_02	1	1	1	10.01.2016	484	60500	False	
cz_5	FG_02	1	1	1	10.01.2016	427	53375	False	
cz_6	FG_02	1	1	1	10.01.2016	341	42625	False	
cz_7	FG_01	1	1	1	10.01.2016	301	31605	False	
cz_7	FG_02	1	1	1	10.01.2016	369	46125	False	
cz_8	FG_02	1	1	1	10.01.2016	305	38125	False	
cz_1	FG_02	1	1	1	11.01.2016	646.5	80812.5	False	
cz_2	FG_02	1	1	1	11.01.2016	595	74375	False	
cz_3	FG_02	1	1	1	11.01.2016	377	47125	False	
cz_4	FG_01	1	1	1	11.01.2016	100	10500	False	
cz_4	FG_02	1	1	1	11.01.2016	537	67125	False	
cz_5	FG_02	1	1	1	11.01.2016	523	65375	False	
cz_6	FG_02	1	1	1	11.01.2016	405	50625	False	
cz_7	FG_01	1	1	1	11.01.2016	100	10500	False	
cz_7	FG_02	1	1	1	11.01.2016	508	63500	False	
cz_8	FG_02	1	1	1	11.01.2016	420	52500	False	
cz_1	FG_02	1	1	1	12.01.2016	496.5	62062.5	False	
cz_2	FG_01	1	1	1	12.01.2016	98	10290	False	
