SiteName	ProductName	PeriodName	ScenarioID	StepNumber	StatisticSource	TotalDemandQty	NonZeroDemandQtyMean	NonZeroDemandQtyStdDev	DemandQtyMean	DemandQtyStdDev	DemandIntervalMean	COV	MinDemand	MaxDemand	AggregationPeriodCount	OrderCount	Outliers	PotentialRevenue	CostOfGoods	TotalWeight	TotalCube	Intermittency	Variability	Clumpiness	DemandClass	DemandClassDetails
cz_1	FG_01	PERIOD_001	1	1	Guru Calculation from Demand	979.5	979.5		31.5967741935484	175.923393335226			979.5	979.5	31	1	0	102847.5	97950	29385	979.5				ExtremelySlow	ExtremelySlow
cz_1	FG_02	PERIOD_001	1	1	Guru Calculation from Demand	783	783		25.258064516129	140.630951486965			783	783	31	1	0	97875	93960	23490	783				ExtremelySlow	ExtremelySlow
cz_2	FG_01	PERIOD_001	1	1	Guru Calculation from Demand	484	484		15.6129032258065	86.928966180959			484	484	31	1	0	50820	48400	14520	484				ExtremelySlow	ExtremelySlow
cz_2	FG_02	PERIOD_001	1	1	Guru Calculation from Demand	726	726		23.4193548387097	130.393449271439			726	726	31	1	0	90750	87120	21780	726				ExtremelySlow	ExtremelySlow
cz_3	FG_01	PERIOD_001	1	1	Guru Calculation from Demand	664	664		21.4193548387097	119.257920545779			664	664	31	1	0	69720	66400	19920	664				ExtremelySlow	ExtremelySlow
cz_3	FG_02	PERIOD_001	1	1	Guru Calculation from Demand	608	608		19.6129032258065	109.200023632279			608	608	31	1	0	76000	72960	18240	608				ExtremelySlow	ExtremelySlow
cz_4	FG_01	PERIOD_001	1	1	Guru Calculation from Demand	477	477		15.3870967741935	85.6717290667716			477	477	31	1	0	50085	47700	14310	477				ExtremelySlow	ExtremelySlow
cz_4	FG_02	PERIOD_001	1	1	Guru Calculation from Demand	514	514		16.5806451612903	92.3171252417623			514	514	31	1	0	64250	61680	15420	514				ExtremelySlow	ExtremelySlow
cz_5	FG_01	PERIOD_001	1	1	Guru Calculation from Demand	375	375		12.0967741935484	67.3519882600406			375	375	31	1	0	39375	37500	11250	375				ExtremelySlow	ExtremelySlow
cz_5	FG_02	PERIOD_001	1	1	Guru Calculation from Demand	472	472		15.2258064516129	84.7737025566377			472	472	31	1	0	59000	56640	14160	472				ExtremelySlow	ExtremelySlow
