SubModel	RunTime	SolverType	DemandPropagationType	ServiceType	NumNodes	NumLinks	NumProducts	LPGap	Status	NumErrors	NumWarnings	TotalSafetyStock	TotalSafetyStockCost	IOVersion	BimVersion
1	00:00:00.5190209	LP	DemandSeries	Type1	27	30	12		Success	0	0	33730.00000	7839.11014	10.2.1.2	2.3.6
2	00:00:00.3800119	LP	DemandSeries	Type1	27	30	12		Success	0	0	33228.00000	6864.37151	10.2.1.2	2.3.6
3	00:00:00.3610112	LP	DemandSeries	Type1	27	30	12		Success	1	0	33019.00000	7159.11452	10.2.1.2	2.3.6
4	00:00:00.3960125	LP	DemandSeries	Type1	27	30	12		Success	0	0	34086.00000	7784.67945	10.2.1.2	2.3.6
5	00:00:00.3900083	LP	DemandSeries	Type1	27	30	12		Success	7	0	32190.00000	6501.33699	10.2.1.2	2.3.6
6	00:00:00.2560114	LP	DemandSeries	Type1	27	30	12		Success	9	0	31757.00000	5979.94521	10.2.1.2	2.3.6
7	00:00:00.1590025	LP	DemandSeries	Type1	27	30	12		Success	9	0	31756.00000	6176.21918	10.2.1.2	2.3.6
8	00:00:00.1710028	LP	DemandSeries	Type1	27	30	12		Success	9	0	31713.00000	6152.06466	10.2.1.2	2.3.6
9	00:00:00.1680078	LP	DemandSeries	Type1	27	30	12		Success	5	0	31353.00000	6039.71507	10.2.1.2	2.3.6
10	00:00:00.2230073	LP	DemandSeries	Type1	27	30	12		Success	8	0	32094.00000	6429.99452	10.2.1.2	2.3.6
11	00:00:00.1900050	LP	DemandSeries	Type1	27	30	12		Success	7	0	31866.00000	6063.68219	10.2.1.2	2.3.6
12	00:00:00.1680046	LP	DemandSeries	Type1	27	30	12		Success	7	0	31768.00000	6126.68712	10.2.1.2	2.3.6
