SiteName	ProductName	PeriodName	DemandMean	DemandStdDev	Intermittency	DemandClass	NonZeroDemandMean	NonZeroDemandStdDev	InterDemandIntervalMean	NonZeroDemandCV2	Variability	Clumpiness	ScenarioID	ScenarioStepNumber	AvgOrderQty	CostOfGoods	TotalWeight	TotalCube	PotentialRevenue	AggregationPeriodCount	TotalDemandQty
cz_1	FG_01	PERIOD_001	21.06452	39.66941	Intermittent	Slow	93.28571	2.87021	4.28571	0.00095	LowVariable		0	1	93.28571	65300.00000	19590.00000	653.00000	68565.00000	31	653.00000
cz_1	FG_01	PERIOD_002	15.72414	35.11908	Intermittent	Slow	91.20000	5.40370	4.66667	0.00351	HighlyVariable		0	1	91.20000	45600.00000	13680.00000	456.00000	47880.00000	29	456.00000
cz_1	FG_01	PERIOD_003	3.12903	17.42171		ExtremelySlow							0	1		9700.00000	2910.00000	97.00000	10185.00000	31	97.00000
cz_1	FG_01	PERIOD_004	21.76667	40.26351	Intermittent	Slow	93.28571	7.20450	3.62500	0.00596	HighlyVariable		0	1	93.28571	65300.00000	19590.00000	653.00000	68565.00000	30	653.00000
cz_1	FG_01	PERIOD_009	6.66667	36.51484		ExtremelySlow							0	1		20000.00000	6000.00000	200.00000	21000.00000	30	200.00000
cz_1	FG_02	PERIOD_001	16.83871	29.91109	Intermittent	Slow	58.00000	25.86987	3.75000	0.19894	HighlyVariable		0	1	58.00000	62640.00000	15660.00000	522.00000	65250.00000	31	522.00000
cz_1	FG_02	PERIOD_002	12.58621	24.97787	Intermittent	Slow	45.62500	27.79999	3.11111	0.37126	HighlyVariable		0	1	45.62641	43800.00000	10950.00000	365.00000	45625.00000	29	365.00000
cz_1	FG_02	PERIOD_003	20.03226	31.50712	Intermittent	Slow	56.45455	26.76327	3.00000	0.22474	HighlyVariable		0	1	56.45455	74520.00000	18630.00000	621.00000	77625.00000	31	621.00000
cz_1	FG_02	PERIOD_004	15.36667	32.05543	Intermittent	Slow	76.83333	17.10458	4.14286	0.04956	HighlyVariable		0	1	76.83333	55320.00000	13830.00000	461.00000	57625.00000	30	461.00000
cz_1	FG_02	PERIOD_005	16.38710	32.30240	Intermittent	Slow	72.57143	21.45427	3.75000	0.08740	HighlyVariable		0	1	72.57143	60960.00000	15240.00000	508.00000	63500.00000	31	508.00000
cz_1	FG_02	PERIOD_006	19.56667	31.93602	Intermittent	Slow	58.70000	27.09264	2.90000	0.21302	HighlyVariable		0	1	58.70000	70440.00000	17610.00000	587.00000	73375.00000	30	587.00000
cz_1	FG_02	PERIOD_007	15.48387	29.92755	Intermittent	Lumpy	43.63636	36.54661	3.00000	0.70145	HighlyVariable		0	1	43.74362	57600.00000	14400.00000	480.00000	60000.00000	31	480.00000
cz_1	FG_02	PERIOD_008	13.83871	30.27441	Intermittent	Slow	71.50000	23.49255	4.28571	0.10796	HighlyVariable		0	1	71.50000	51480.00000	12870.00000	429.00000	53625.00000	31	429.00000
cz_1	FG_02	PERIOD_009	17.53333	32.53405	Intermittent	Slow	65.75000	27.60305	3.22222	0.17625	HighlyVariable		0	1	65.75000	63120.00000	15780.00000	526.00000	65750.00000	30	526.00000
cz_1	FG_02	PERIOD_010	19.74194	36.01756	Intermittent	Slow	76.50000	24.44235	3.33333	0.10209	HighlyVariable		0	1	76.50000	73440.00000	18360.00000	612.00000	76500.00000	31	612.00000
cz_1	FG_02	PERIOD_011	14.36667	25.59564	Intermittent	Slow	53.87500	16.77956	3.62500	0.09700	HighlyVariable		0	1	53.87500	51720.00000	12930.00000	431.00000	53875.00000	30	431.00000
cz_1	FG_02	PERIOD_012	10.67742	24.86549	Intermittent	Slow	55.16667	27.65080	4.28571	0.25122	HighlyVariable		0	1	55.16668	39720.00000	9930.00000	331.00000	41375.00000	31	331.00000
cz_2	FG_01	PERIOD_001	15.61290	36.23780	Intermittent	Slow	96.80000	5.01996	6.00000	0.00269	HighlyVariable		0	1	96.80000	48400.00000	14520.00000	484.00000	50820.00000	31	484.00000
cz_2	FG_01	PERIOD_002	21.44828	38.81788	Intermittent	Slow	88.85714	6.61888	3.50000	0.00555	HighlyVariable		0	1	88.85714	62200.00000	18660.00000	622.00000	65310.00000	29	622.00000
