SiteName	ProductName	PeriodName	DemandMean	DemandStdDev	Intermittency	DemandClass	NonZeroDemandMean	NonZeroDemandStdDev	InterDemandIntervalMean	NonZeroDemandCV2	Variability	Clumpiness	ScenarioID	ScenarioStepNumber	AvgOrderQty	CostOfGoods	TotalWeight	TotalCube	PotentialRevenue	AggregationPeriodCount	TotalDemandQty
Filling Plant	Bulk_02	PERIOD_001											0	1					0.00000	31	
Filling Plant	Bulk_02	PERIOD_002											0	1					0.00000	29	
Filling Plant	Bulk_02	PERIOD_003											0	1					0.00000	31	
Filling Plant	Bulk_02	PERIOD_004											0	1					0.00000	30	
Filling Plant	Bulk_02	PERIOD_005											0	1					0.00000	31	
Filling Plant	Bulk_02	PERIOD_006											0	1					0.00000	30	
Filling Plant	Bulk_02	PERIOD_007											0	1					0.00000	31	
Filling Plant	Bulk_02	PERIOD_008											0	1					0.00000	31	
Filling Plant	Bulk_02	PERIOD_009											0	1					0.00000	30	
Filling Plant	Bulk_02	PERIOD_010											0	1					0.00000	31	
Filling Plant	Bulk_02	PERIOD_011											0	1					0.00000	30	
Filling Plant	Bulk_02	PERIOD_012											0	1					0.00000	31	
DC_1	FG_01	PERIOD_001	43.62903	61.36204	Intermittent	Slow	104.03846	51.03531	2.30769	0.24063	HighlyVariable		0	1	104.03846	135250.00000	40575.00000	1352.50000	142012.50000	31	1352.50000
DC_1	FG_01	PERIOD_002	61.48276	72.52321	Intermittent	Slow	118.86667	56.66552	1.75000	0.22726	HighlyVariable		0	1	118.86667	178300.00000	53490.00000	1783.00000	187215.00000	29	1783.00000
DC_1	FG_01	PERIOD_003	25.72581	54.65038	Intermittent	Slow	113.92857	56.65424	4.28571	0.24729	HighlyVariable		0	1	113.92857	79750.00000	23925.00000	797.50000	83737.50000	31	797.50000
DC_1	FG_01	PERIOD_004	45.28333	73.19679	Intermittent	Slow	150.94444	38.46219	2.90000	0.06493	HighlyVariable		0	1	150.94444	135850.00000	40755.00000	1358.50000	142642.50000	30	1358.50000
DC_1	FG_01	PERIOD_005	12.41935	32.80729	Intermittent	Slow	96.25000	2.21736	6.00000	0.00053	LowVariable		0	1	96.25000	38500.00000	11550.00000	385.00000	40425.00000	31	385.00000
DC_1	FG_01	PERIOD_006											0	1						30	
DC_1	FG_01	PERIOD_007											0	1						31	
DC_1	FG_01	PERIOD_008											0	1						31	
DC_1	FG_01	PERIOD_009	3.33333	18.25742		ExtremelySlow							0	1		10000.00000	3000.00000	100.00000	10500.00000	30	100.00000
DC_1	FG_01	PERIOD_010	9.70968	54.06120		ExtremelySlow							0	1		30100.00000	9030.00000	301.00000	31605.00000	31	301.00000
DC_1	FG_01	PERIOD_011	3.33333	18.25742		ExtremelySlow							0	1		10000.00000	3000.00000	100.00000	10500.00000	30	100.00000
DC_1	FG_01	PERIOD_012	3.16129	17.60132		ExtremelySlow							0	1		9800.00000	2940.00000	98.00000	10290.00000	31	98.00000
DC_4	FG_02	PERIOD_001	44.12903	56.95714	Intermittent	Slow	91.20000	48.49919	2.14286	0.28280	HighlyVariable		0	1	91.20002	164160.00000	41040.00000	1368.00000	171000.00000	31	1368.00000
DC_4	FG_02	PERIOD_002	43.44828	48.56997	Intermittent	Slow	78.75000	37.92361	1.64706	0.23191	HighlyVariable		0	1	78.75000	151200.00000	37800.00000	1260.00000	157500.00000	29	1260.00000
DC_4	FG_02	PERIOD_003	58.09677	53.73227	Intermittent	Slow	90.05000	39.11316	1.57895	0.18866	HighlyVariable		0	1	90.05000	216120.00000	54030.00000	1801.00000	225125.00000	31	1801.00000
DC_4	FG_02	PERIOD_004	47.96667	59.50455	Intermittent	Slow	95.93333	49.03274	1.93333	0.26124	HighlyVariable		0	1	95.93334	172680.00000	43170.00000	1439.00000	179875.00000	30	1439.00000
DC_4	FG_02	PERIOD_005	42.35484	50.44836	Intermittent	Slow	72.94444	46.13723	1.57895	0.40005	HighlyVariable		0	1	72.94578	157560.00000	39390.00000	1313.00000	164125.00000	31	1313.00000
DC_4	FG_02	PERIOD_006	60.63333	56.84430	Non-Intermittent	Smooth	82.68182	50.52146	1.31818	0.37336			0	1	82.68237	218280.00000	54570.00000	1819.00000	227375.00000	30	1819.00000
DC_4	FG_02	PERIOD_007	42.67742	51.18293	Intermittent	Lumpy	63.00000	50.84486	1.50000	0.65135	HighlyVariable		0	1	63.06025	158760.00000	39690.00000	1323.00000	165375.00000	31	1323.00000
DC_4	FG_02	PERIOD_008	42.41935	54.88823	Intermittent	Slow	77.35294	52.70429	1.76471	0.46424	HighlyVariable		0	1	77.35760	157800.00000	39450.00000	1315.00000	164375.00000	31	1315.00000
