SiteName	ProductName	PeriodName	ScenarioID	ScenarioStepNumber	TargetServiceLevel	OptimizedAverageServiceLevel	ServiceType	SafetyStock	Extra SafetyStock	USF SafetyStock	Total SafetyStock	SafetyStockDOS	SafetyStockCost	Coverage	DemandMean	DemandStdDev	DemandClass	Source Name	Destination Name	BOM Name	Mode	ServiceTime	ImmediateLeadTime	MaxLeadTime	BatchSize	RecommendedPolicy	PolicyParameter1	PolicyParameter2	ExpectedType1Service	ExpectedType2Service	ExpectedType3Service	Lead-Time Demand Distribution	Lead-Time Demand Mean	Lead-Time Demand Stdev	Average Backorders	Average Inventory	Average Order Qty	Sourcing Type	RQ Policy Param1	RQ Policy Param2	BS Policy Param1	BS Policy Param2	sS Policy Param1	sS Policy Param2	TS Policy Param1	TS Policy Param2	Safety Stock Value	ProductSet	Cycle Stock	Cycle Stock Cost	Work In Progress Inventory	Work In Progress Inventory Cost	Incoming In Transit Inventory	Incoming In Transit Inventory Cost	Total Inventory	Total Inventory Cost	Total Inventory Value	Status	Sub-Model ID
DC_1	FG_01	PERIOD_001	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	43.62903	61.36204	Slow-HighlyVariable						1	43	1.00000	s,S	44.00000	45.00000	0.95000	0.95000	0.95000	Mixture of Distributions	43.62903		0.00000	1.00000	104.03846	Single	44.00000	1.00000	45.00000		44.00000	45.00000	0	45.00000	0.00000	1	0.50000	0.50959	0.00000	0.00000	16.72446	17.04521	17.22446	17.55479	1722.44624	Success	1
DC_1	FG_02	PERIOD_001	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	52.45161	51.63257	Slow-HighlyVariable						1	43	1.00000	s,S	53.00000	54.00000	0.95000	0.95000	0.95000	Mixture of Distributions	52.45161		0.00000	1.00000	81.30001	Single	53.00000	1.00000	54.00000		53.00000	54.00000	0	54.00000	0.00000	1	0.50000	0.61151	0.00000	0.00000	20.10645	24.59047	20.60645	25.20197	2472.77419	Success	1
DC_1	FG_01	PERIOD_002	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	61.48276	72.52321	Slow-HighlyVariable						1	43	1.00000	s,S	62.00000	63.00000	0.95000	0.95000	0.95000	Mixture of Distributions	61.48276		0.00000	1.00000	118.86667	Single	62.00000	1.00000	63.00000		62.00000	63.00000	0	63.00000	0.00000	1	0.50000	0.47671	0.00000	0.00000	23.56839	22.47068	24.06839	22.94740	2406.83908	Success	2
DC_1	FG_02	PERIOD_002	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	41.62069	54.47831	Slow-HighlyVariable						1	43	1.00000	s,S	42.00000	43.00000	0.95000	0.95000	0.95000	Mixture of Distributions	41.62069		0.00000	1.00000	80.46781	Single	42.00000	1.00000	43.00000		42.00000	43.00000	0	43.00000	0.00000	1	0.50000	0.57205	0.00000	0.00000	15.95460	18.25381	16.45460	18.82586	1974.55172	Success	2
DC_1	FG_01	PERIOD_003	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	21.00000	25.72581	54.65038	Slow-HighlyVariable						1	43	1.00000	s,S	541.00000	542.00000	0.95000	0.95000	0.95000	Mixture of Distributions	540.24194		0.00000	1.00000	113.92857	Single	541.00000	1.00000	542.00000		541.00000	542.00000	0	542.00000	0.00000	1	0.50000	0.50959	0.00000	0.00000	9.86156	10.05068	10.36156	10.56027	1036.15591	Success	3
DC_1	FG_02	PERIOD_003	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	55.38710	64.31935	Slow-HighlyVariable						1	43	1.00000	s,S	56.00000	57.00000	0.95000	0.95000	0.95000	Mixture of Distributions	55.38710		0.00000	1.00000	90.37063	Single	56.00000	1.00000	57.00000		56.00000	57.00000	0	57.00000	0.00000	1	0.50000	0.61151	0.00000	0.00000	21.23172	25.96668	21.73172	26.57819	2607.80645	Success	3
DC_1	FG_01	PERIOD_004	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	45.28333	73.19679	Slow-HighlyVariable						1	43	1.00000	s,S	46.00000	47.00000	0.95000	0.95000	0.95000	Mixture of Distributions	45.28333		0.00000	1.00000	150.94444	Single	46.00000	1.00000	47.00000		46.00000	47.00000	0	47.00000	0.00000	1	0.50000	0.49315	0.00000	0.00000	17.35861	17.12082	17.85861	17.61397	1785.86111	Success	4
DC_1	FG_02	PERIOD_004	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	41.70000	71.03236	Slow-HighlyVariable						1	43	1.00000	s,S	42.00000	43.00000	0.95000	0.95000	0.95000	Mixture of Distributions	41.70000		0.00000	1.00000	113.72888	Single	42.00000	1.00000	43.00000		42.00000	43.00000	0	43.00000	0.00000	1	0.50000	0.59178	0.00000	0.00000	15.98500	18.91923	16.48500	19.51101	1978.20000	Success	4
DC_1	FG_01	PERIOD_005	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	21.00000	12.41935	32.80729	Slow-LowVariable						1	43	1.00000	BaseStock	262.00000		0.95000	0.95000	0.95000	Mixture of Distributions	260.80645		0.00000	1.00000	96.25000	Single	261.00000	1.00000	262.00000		261.00000	262.00000	0	262.00000	0.00000	1	0.50000	0.50959	0.00000	0.00000	4.76075	4.85205	5.26075	5.36164	526.07527	Success	5
DC_1	FG_02	PERIOD_005	0	1	0.95000	0.90000	Type1	0.00000		0.00000	0.00000	0.00000	0.00000	1.00000	45.74194	54.05859	Slow-HighlyVariable						1	43	1.00000	s,S	46.00000	47.00000	0.95000	0.95000	0.95000	Mixture of Distributions	45.74194		0.00000	1.00000	74.63658	Single	46.00000	1.00000	47.00000		46.00000	47.00000	0	47.00000	0.00000	1	0.50000	0.61151	0.00000	0.00000	17.53441	21.44482	18.03441	22.05633	2164.12903	Success	5
