SiteName	ProductName	PeriodName	ScenarioID	ScenarioStepNumber	TargetServiceLevel	OptimizedAverageServiceLevel	ServiceType	SafetyStock	ExtraSafetyStock	USFSafetyStock	TotalSafetyStock	SafetyStockDOS	SafetyStockCost	Coverage	DemandMean	DemandStdDev	DemandClass	SourceName	DestinationName	BOMName	Mode	ServiceTime	ImmediateLeadTime	MaxLeadTime	BatchSize	RecommendedPolicy	PolicyParameter1	PolicyParameter2	ExpectedType1Service	ExpectedType2Service	ExpectedType3Service	LeadTimeDemandDistribution	LeadTimeDemandMean	LeadTimeDemandStdDev	AverageBackorders	AverageInventory	AverageOrderQty	SourcingType	RQPolicyParam1	RQPolicyParam2	BSPolicyParam1	BSPolicyParam2	sSPolicyParam1	sSPolicyParam2	TSPolicyParam1	TSPolicyParam2	SafetyStockValue	ProductSet	CycleStock	CycleStockCost	WorkInProgressInventory	WorkInProgressInventoryCost	IncomingInTransitInventory	IncomingInTransitInventoryCost	TotalInventory	TotalInventoryCost	TotalInventoryValue	Status	SubModelID
Filling Plant	Bulk_02	PERIOD_001	0	1	0.95000	0.00000	Type1	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000			ExtremelySlow					0.00000	4.00000	26.00000	1.00000	R,Q	0	1.00000				Mixture of Distributions	0.00000	0.00000	0.00000	1.00000		Single	0	1.00000	0		0	1.00000	0.00000	0.00000	0.00000	1	0.50000	0.20384	0.00000	0.00000	0.00000	0.00000	0.50000	0.20384	20.00000	Skipped	1
DC_1	FG_01	PERIOD_001	0	1	0.95000	0.00000	Type1	126.00000	0.00000	0.00000	126.00000	2.88799	128.41644	1.00000	43.62903	61.36204	Slow-HighlyVariable						1.00000	43.00000	1.00000	s,S	169.00000	170.00000	0.95034		0.95067	Mixture of Distributions	43.62903	62.16833	3.79415	129.66512	104.03846	Single	169.00000	1.00000	170.00000		169.00000	170.00000	0	0	12600.00000	1	0.50000	0.50959	0.00000	0.00000	16.72446	17.04521	143.22446	145.97123	14322.44624	Success	1
DC_4	FG_02	PERIOD_001	0	1	0.95000	0.00000	Type1	117.00000	0.00000	0.00000	117.00000	2.65132	143.09260	1.00000	44.12903	56.95714	Slow-HighlyVariable						1.00000	43.00000	1.00000	s,S	161.00000	162.00000	0.95034		0.95072	Mixture of Distributions	44.12903	57.84474	3.34928	120.72024	91.20002	Single	161.00000	1.00000	162.00000		161.00000	162.00000	0	0	14040.00000	1	0.50000	0.61151	0.00000	0.00000	19.34323	23.65703	136.84323	167.36114	16421.18710	Success	1
DC_1	FG_02	PERIOD_001	0	1	0.95000	0.00000	Type1	107.00000	0.00000	0.00000	107.00000	2.03998	130.86247	1.00000	52.45161	51.63257	Slow-HighlyVariable						1.00000	43.00000	1.00000	s,S	159.00000	160.00000	0.95064		0.95110	Mixture of Distributions	52.45161	53.00829	2.60766	109.65605	81.30001	Single	159.00000	1.00000	160.00000		159.00000	160.00000	0	0	12840.00000	1	0.50000	0.61151	0.00000	0.00000	20.10645	24.59047	127.60645	156.06444	15312.77419	Success	1
DC_6	FG_01	PERIOD_001	0	1	0.95000	0.00000	Type1	98.00000	0.00000	0.00000	98.00000	2.66258	99.87945	1.00000	36.80645	47.12142	Slow-LowVariable						1.00000	43.00000	1.00000	BaseStock	135.00000		0.95078		0.95123	Mixture of Distributions	36.80645	47.86767	2.73052	100.42407	95.08333	Single	134.00000	1.00000	135.00000		134.00000	135.00000	0	0	9800.00000	1	0.50000	0.50959	0.00000	0.00000	7.86738	8.01826	106.36738	108.40730	10636.73790	Success	1
DC_6	FG_02	PERIOD_001	0	1	0.95000	0.00000	Type1	103.00000	0.00000	0.00000	103.00000	2.84581	125.97041	1.00000	36.19355	50.32522	Lumpy						1.00000	43.00000	1.00000	T,S	0	140.00000	0.95026		0.95067	Mixture of Distributions	36.19355	51.00170	3.09086	106.39731	70.13653	Single	139.00000	1.00000	140.00000		139.00000	140.00000	0	0	12360.00000	1	0.50000	0.61151	0.00000	0.00000	7.73637	9.46169	111.23637	136.04361	13348.36452	Success	1
DC_4	FG_01	PERIOD_001	0	1	0.95000	0.00000	Type1	119.00000	0.00000	0.00000	119.00000	3.15164	121.28219	1.00000	37.75806	58.36250	Slow-HighlyVariable						1.00000	43.00000	1.00000	s,S	156.00000	157.00000	0.95027		0.95061	Mixture of Distributions	37.75806	58.99814	3.81916	122.56109	117.05000	Single	156.00000	1.00000	157.00000		156.00000	157.00000	0	0	11900.00000	1	0.50000	0.50959	0.00000	0.00000	16.55062	16.86803	136.05062	138.65981	13605.06183	Success	1
Plant2	Bulk_02	PERIOD_001	0	1	0.95000	0.00000	Type1	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000			ExtremelySlow					0.00000	10.00000	22.00000	1.00000	R,Q	0	1.00000				Mixture of Distributions	0.00000	0.00000	0.00000	1.00000		Single	0	1.00000	0		0	1.00000	0.00000	0.00000	0.00000	1	0.50000	0.20384	0.00000	0.00000	0.00000	0.00000	0.50000	0.20384	20.00000	Skipped	1
Plant2	000001	PERIOD_001	0	1	0.95000	0.00000	Type1	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	501.93548	418.37574	Smooth						1.00000	12.00000	3.00000	R,Q	0	3.00000				Normal	0.00000	0.00000	0.00000	2.00000	576.30242	Single	0	3.00000	0		0	3.00000	0.00000	0.00000	0.00000	1	1.50000	0.15288	0.00000	0.00000	362.64839	36.96033	364.14839	37.11321	3641.48387	Success	1
Plant2	000002	PERIOD_001	0	1	0.95000	0.00000	Type1	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	752.90323	627.56361	Smooth						1.00000	12.00000	3.00000	R,Q	0	3.00000				Normal	0.00000	0.00000	0.00000	2.00000	864.44836	Single	0	3.00000	0		0	3.00000	0.00000	0.00000	0.00000	1	1.50000	0.22932	0.00000	0.00000	543.97258	83.16074	545.47258	83.39005	8182.08871	Success	1
