SiteName	ProductName	PeriodName	Date	ScenarioID	ScenarioStepNumber	TargetServiceLevel	OptimizedAverageServiceLevel	ServiceType	SafetyStock	ExtraSafetyStock	USFSafetyStock	TotalSafetyStock	SafetyStockDOS	SafetyStockCost	Coverage	DemandMean	DemandStdDev	DemandClass	SourceName	DestinationName	BOMName	Mode	ServiceTime	ImmediateLeadTime	MaxLeadTime	BatchSize	RecommendedPolicy	PolicyParameter1	PolicyParameter2	ExpectedType1Service	ExpectedType2Service	ExpectedType3Service	LeadTimeDemandDistribution	LeadTimeDemandMean	LeadTimeDemandStdDev	AverageBackorders	AverageInventory	AverageOrderQty	SourcingType	RQPolicyParam1	RQPolicyParam2	BSPolicyParam1	BSPolicyParam2	sSPolicyParam1	sSPolicyParam2	TSPolicyParam1	TSPolicyParam2	SafetyStockValue	ProductSet	CycleStock	CycleStockCost	WorkInProgressInventory	WorkInProgressInventoryCost	IncomingInTransitInventory	IncomingInTransitInventoryCost	TotalInventory	TotalInventoryCost	TotalInventoryValue	Status	SubModelID
DC	Product	SINGLEPERIOD	01/06/2019	0	1	0.95000	0.00000	Type2	981.00000	0.00000	0.00000	981.00000	15.12555	1177.20000	14.00000	64.85714	143.42794	Erratic						7.00000	17.00000	454.00000	s,S	1889.00000	2343.00000	0.94480	0.95004	0.96618	Mixture of Distributions	908.00000	536.65821	13.64050	1221.64050	689.77766	Single	1889.00000	454.00000	1890.00000		1889.00000	2343.00000	0	0	9810.00000	1	227.00000	272.40000	0.00000	0.00000	454.00000	544.80000	1662.00000	1994.40000	16620.00000	Success	1
DC	Product	SINGLEPERIOD	01/13/2019	0	1	0.95000	0.00000	Type2	1100.00000	0.00000	0.00000	1100.00000	19.94819	1320.00000	14.00000	55.14286	143.42794	Erratic						7.00000	17.00000	386.00000	s,S	1872.00000	2258.00000	0.95622	0.95011	0.97064	Mixture of Distributions	772.00000	536.65821	12.78529	1305.78529	654.29121	Single	1872.00000	386.00000	1873.00000		1872.00000	2258.00000	0	0	11000.00000	1	193.00000	231.60000	0.00000	0.00000	386.00000	463.20000	1679.00000	2014.80000	16790.00000	Success	1
DC	Product	SINGLEPERIOD	01/20/2019	0	1	0.95000	0.00000	Type2	965.00000	0.00000	0.00000	965.00000	14.52688	1158.00000	14.00000	66.42857	143.42794	Erratic						7.00000	17.00000	465.00000	s,S	1895.00000	2360.00000	0.94296	0.95005	0.96555	Mixture of Distributions	930.00000	536.65821	13.74945	1211.24945	695.83918	Single	1895.00000	465.00000	1896.00000		1895.00000	2360.00000	0	0	9650.00000	1	232.50000	279.00000	0.00000	0.00000	465.00000	558.00000	1662.50000	1995.00000	16625.00000	Success	1
DC	Product	SINGLEPERIOD	01/27/2019	0	1	0.95000	0.00000	Type2	1216.00000	0.00000	0.00000	1216.00000	25.33333	1459.20000	14.00000	48.00000	143.42794	Erratic						7.00000	17.00000	336.00000	s,S	1888.00000	2224.00000	0.96436	0.95003	0.97442	Mixture of Distributions	672.00000	536.65821	11.99004	1395.99004	630.52241	Single	1888.00000	336.00000	1889.00000		1888.00000	2224.00000	0	0	12160.00000	1	168.00000	201.60000	0.00000	0.00000	336.00000	403.20000	1720.00000	2064.00000	17200.00000	Success	1
DC	Product	SINGLEPERIOD	02/03/2019	0	1	0.95000	0.00000	Type2	726.00000	0.00000	0.00000	726.00000	7.15775	871.20000	14.00000	101.42857	143.42794	Erratic						7.00000	17.00000	710.00000	s,S	2146.00000	2856.00000	0.90236	0.95014	0.95615	Mixture of Distributions	1420.00000	536.65821	15.06305	1096.06305	850.97000	Single	2146.00000	710.00000	2147.00000		2146.00000	2856.00000	0	0	7260.00000	1	355.00000	426.00000	0.00000	0.00000	710.00000	852.00000	1791.00000	2149.20000	17910.00000	Success	1
DC	Product	SINGLEPERIOD	02/10/2019	0	1	0.95000	0.00000	Type2	767.00000	0.00000	0.00000	767.00000	8.22205	920.40000	14.00000	93.28571	143.42794	Erratic						7.00000	17.00000	653.00000	s,S	2073.00000	2726.00000	0.91148	0.95001	0.95759	Mixture of Distributions	1306.00000	536.65821	14.93288	1108.43288	811.72029	Single	2073.00000	653.00000	2074.00000		2073.00000	2726.00000	0	0	7670.00000	1	326.50000	391.80000	0.00000	0.00000	653.00000	783.60000	1746.50000	2095.80000	17465.00000	Success	1
DC	Product	SINGLEPERIOD	02/17/2019	0	1	0.95000	0.00000	Type2	877.00000	0.00000	0.00000	877.00000	11.47477	1052.40000	14.00000	76.42857	143.42794	Erratic						7.00000	17.00000	535.00000	s,S	1947.00000	2482.00000	0.93117	0.95004	0.96199	Mixture of Distributions	1070.00000	536.65821	14.33095	1158.83095	736.36865	Single	1947.00000	535.00000	1948.00000		1947.00000	2482.00000	0	0	8770.00000	1	267.50000	321.00000	0.00000	0.00000	535.00000	642.00000	1679.50000	2015.40000	16795.00000	Success	1
DC	Product	SINGLEPERIOD	02/24/2019	0	1	0.95000	0.00000	Type2	2594.00000	0.00000	0.00000	2594.00000	134.50370	3112.80000	14.00000	19.28571	143.42794	Erratic						7.00000	17.00000	135.00000	s,S	2864.00000	2999.00000	0.99253	0.95003	0.99308	Mixture of Distributions	270.00000	536.65821	6.26688	2667.76688	559.18799	Single	2864.00000	135.00000	2865.00000		2864.00000	2999.00000	0	0	25940.00000	1	67.50000	81.00000	0.00000	0.00000	135.00000	162.00000	2796.50000	3355.80000	27965.00000	Success	1
DC	Product	SINGLEPERIOD	03/03/2019	0	1	0.95000	0.00000	Type2	989.00000	0.00000	0.00000	989.00000	15.41871	1186.80000	14.00000	64.14286	143.42794	Erratic						7.00000	17.00000	449.00000	s,S	1887.00000	2336.00000	0.94569	0.95010	0.96651	Mixture of Distributions	898.00000	536.65821	13.57266	1227.07266	687.05110	Single	1887.00000	449.00000	1888.00000		1887.00000	2336.00000	0	0	9890.00000	1	224.50000	269.40000	0.00000	0.00000	449.00000	538.80000	1662.50000	1995.00000	16625.00000	Success	1
DC	Product	SINGLEPERIOD	03/10/2019	0	1	0.95000	0.00000	Type2	1011.00000	0.00000	0.00000	1011.00000	16.26897	1213.20000	14.00000	62.14286	143.42794	Erratic						7.00000	17.00000	435.00000	s,S	1881.00000	2316.00000	0.94804	0.95010	0.96736	Mixture of Distributions	870.00000	536.65821	13.41838	1241.91838	679.51345	Single	1881.00000	435.00000	1882.00000		1881.00000	2316.00000	0	0	10110.00000	1	217.50000	261.00000	0.00000	0.00000	435.00000	522.00000	1663.50000	1996.20000	16635.00000	Success	1
