ScenarioId	StepNumber	Replication	Time	Site	Product	Variable	Average	SimpleAverage	StdDev	Min	Max	Current	Total	Period
0	1	1	01/01/2016 00:00:00	"TRUCK"		AVAILABLEUNITS						99.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		SETUPUNITS						0.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		UTILIZEDUNITS						1.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		AVAILABLEUNITS						98.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		AVAILABLEUNITS						97.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		SETUPUNITS						2.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		UTILIZEDUNITS						2.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		SETUPUNITS						0.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		UTILIZEDUNITS						3.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		AVAILABLEUNITS						96.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		SETUPUNITS						0.000000		1	
0	1	1	01/01/2016 00:00:00	"TRUCK"		UTILIZEDUNITS						4.000000		1	
0	1	1	01/01/2016 07:57:55	"TRUCK"		UTILIZEDUNITS						3.000000		1	
0	1	1	01/01/2016 07:57:55	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/01/2016 10:42:34	"TRUCK"		UTILIZEDUNITS						2.000000		1	
0	1	1	01/01/2016 10:42:34	"TRUCK"		SETUPUNITS						2.000000		1	
0	1	1	01/01/2016 10:42:34	"TRUCK"		UTILIZEDUNITS						1.000000		1	
0	1	1	01/01/2016 10:42:34	"TRUCK"		SETUPUNITS						3.000000		1	
0	1	1	01/01/2016 15:55:50	"TRUCK"		SETUPUNITS						2.000000		1	
0	1	1	01/01/2016 15:55:50	"TRUCK"		AVAILABLEUNITS						97.000000		1	
0	1	1	01/01/2016 16:00:00	"TRUCK"		UTILIZEDUNITS						0.000000		1	
0	1	1	01/01/2016 16:00:00	"TRUCK"		SETUPUNITS						3.000000		1	
0	1	1	01/01/2016 21:25:08	"TRUCK"		SETUPUNITS						2.000000		1	
0	1	1	01/01/2016 21:25:08	"TRUCK"		AVAILABLEUNITS						98.000000		1	
0	1	1	01/01/2016 21:25:08	"TRUCK"		SETUPUNITS						1.000000		1	
0	1	1	01/01/2016 21:25:08	"TRUCK"		AVAILABLEUNITS						99.000000		1	
