ScenarioId	StepNumber	Replication	Time	Site	Product	Variable	Average	SimpleAverage	StdDev	Min	Max	Current	Total	Period
0	1	1	01/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						1272.000000		1	
0	1	1	01/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		1	
0	1	1	01/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						6375.000000		1	
0	1	1	01/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						67248.000000		1	
0	1	1	01/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		1	
0	1	1	01/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						122206.000000		1	
0	1	1	01/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						167308.000000		1	
0	1	1	01/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						100060.000000		1	
0	1	1	01/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						1161.000000		1	
0	1	1	01/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						2438.000000		1	
0	1	1	01/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						3059.000000		1	
0	1	1	01/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						3722.000000		1	
0	1	1	01/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						4342.000000		1	
0	1	1	01/01/2016 01:14:12	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						3181.000000		1	
0	1	1	01/01/2016 02:21:56	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						1904.000000		1	
0	1	1	01/01/2016 03:36:26	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						1283.000000		1	
0	1	1	01/01/2016 04:12:40	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						620.000000		1	
0	1	1	01/01/2016 04:51:21	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		1	
0	1	1	01/01/2016 09:20:24	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						45102.000000		1	
0	1	1	01/01/2016 16:58:23	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						0.000000		1	
0	1	1	01/12/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						649.000000		1	
0	1	1	01/12/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		1	
0	1	1	01/16/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						618.000000		1	
0	1	1	01/16/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		1	
0	1	1	01/16/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						5609.000000		1	
0	1	1	01/16/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		1	
0	1	1	01/18/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						641.000000		1	
0	1	1	01/18/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		1	
0	1	1	01/24/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						673.000000		1	
0	1	1	01/24/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		1	
0	1	1	01/25/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						1214.000000		1	
0	1	1	01/25/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		1	
0	1	1	01/28/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						563.000000		1	
0	1	1	01/28/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		1	
0	1	1	02/27/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						230.000000		2	
0	1	1	02/27/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		2	
0	1	1	03/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						3281.000000		3	
0	1	1	03/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		3	
0	1	1	03/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						22194.000000		3	
0	1	1	03/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						251518.000000		3	
0	1	1	03/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		3	
0	1	1	03/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						456448.000000		3	
0	1	1	03/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						625733.000000		3	
0	1	1	03/01/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						374215.000000		3	
0	1	1	03/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						767.000000		3	
0	1	1	03/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						1580.000000		3	
0	1	1	03/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						8000.000000		3	
0	1	1	03/01/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						8001.000000		3	
0	1	1	03/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						10991.000000		3	
0	1	1	03/01/2016 03:11:24	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						10224.000000		3	
0	1	1	03/01/2016 03:56:09	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						9411.000000		3	
0	1	1	03/01/2016 04:43:35	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						2991.000000		3	
0	1	1	03/01/2016 10:58:05	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		3	
0	1	1	03/01/2016 21:34:39	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		3	
0	1	1	03/02/2016 10:55:59	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						169285.000000		3	
0	1	1	03/03/2016 15:23:44	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						0.000000		3	
0	1	1	03/07/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						2797.000000		3	
0	1	1	03/07/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		3	
0	1	1	03/07/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						5788.000000		3	
0	1	1	03/07/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						55153.000000		3	
0	1	1	03/07/2016 00:00:00	"PLANT2"	"BULK LINE"	QUEUEDEPTH						0.000000		3	
0	1	1	03/07/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						96518.000000		3	
0	1	1	03/07/2016 00:00:00	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						41365.000000		3	
0	1	1	03/07/2016 07:39:37	"PLANT1"	"INTERMEDIATE LINE"	QUEUEDEPTH						0.000000		3	
0	1	1	03/12/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						643.000000		3	
0	1	1	03/12/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		3	
0	1	1	03/12/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						673.000000		3	
0	1	1	03/12/2016 00:37:31	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		3	
0	1	1	03/19/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						605.000000		3	
0	1	1	03/19/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		3	
0	1	1	03/21/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						599.000000		3	
0	1	1	03/21/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		3	
0	1	1	03/24/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						655.000000		3	
0	1	1	03/24/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		3	
0	1	1	04/27/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						432.000000		4	
0	1	1	04/27/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		4	
0	1	1	04/30/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						550.000000		4	
0	1	1	04/30/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		4	
0	1	1	05/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						2853.000000		5	
0	1	1	05/01/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		5	
0	1	1	05/02/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						2014.000000		5	
0	1	1	05/02/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		5	
0	1	1	05/05/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						718.000000		5	
0	1	1	05/05/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						0.000000		5	
0	1	1	05/15/2016 00:00:00	"FILLING PLANT"	"FILLING TANK"	QUEUEDEPTH						568.000000		5	
