vrpNumber, routeId, equipmentTypeId, transModeId, warehouseId, startDateTime, endDateTime, totalCost, unitCost, LTLCost, totalDistance, repositionDistance, totalWeight, totalCubic, totalQty, maxWeight, maxCubic, maxQty, totalTime, dutyTime, operatingTime, repositionTime, serviceTime, waitTime, shortBreakTime, breakTime, fixedCost, distanceCost, repositionDistanceCost, distanceSurchargeCost, stopCost, dutyTimeCost, driveTimeCost, serviceTimeCost, waitTimeCost, shortBreakCost, longBreakCost, outOfRoutePercent, equipmentId, carrierId, startDateTimeLocal, endDateTimeLocal, lockType, isMixed, deliveredStops, deliveredQty, deliveredWeight, deliveredCubic, pickupStops, pickupQty, pickupWeight, pickupCubic, routeUtilization, assetId, rateId, sequenceIdInAsset, num_Property1, num_Property2, num_Property3, outOfRouteMile, debugRouteId, additiveCost, costPerQty, costPerWeight, costPerCubic, segmentUtilization, decompositionId, dockDoorId, dockDoorServiceStartTime, dockDoorServiceEndTime, outOfRouteCost, chargingCost, overrideCost, minimumCost, inventoryHoldingCost
,"000001","Truck",,"DC_1",02/05/2016 06:29,02/06/2016 00:00,1260.06,0.00,0.00,962.55,0.00,0.00,0.00,437.00,0.00,0.00,1000.00,1050.05,1050.05,1050.05,0.00,0.00,0.00,0.00,0.00,1200.00,1155.06,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,"0",,02/05/2016 06:29,02/06/2016 00:00,0,N,3,437.00,0.00,0.00,1,437.00,0.00,0.00,0.44,"000001","1",,,,,629.10,"15175",0.00,5.63,,,0.30,,,,,0.00,0.00,0.00,0.00,0.00
,"000002","Truck",,"DC_1",03/30/2016 18:16,03/31/2016 06:50,899.45,0.00,0.00,691.21,0.00,0.00,0.00,287.00,0.00,0.00,1000.00,754.05,754.05,754.05,0.00,0.00,0.00,0.00,0.00,1200.00,829.45,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,"0",,03/30/2016 18:16,03/31/2016 06:50,0,N,2,287.00,0.00,0.00,1,287.00,0.00,0.00,0.29,"000002","1",,,,,357.76,"15176",0.00,7.32,,,0.18,,,,,0.00,0.00,0.00,0.00,0.00
,"000003","Truck",,"DC_1",03/22/2016 20:33,03/23/2016 09:06,898.53,0.00,0.00,690.44,0.00,0.00,0.00,190.00,0.00,0.00,1000.00,753.21,753.21,753.21,0.00,0.00,0.00,0.00,0.00,1200.00,828.53,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.19,"0",,03/22/2016 20:33,03/23/2016 09:06,0,N,2,190.00,0.00,0.00,1,190.00,0.00,0.00,0.19,"000003","1",,,,,375.62,"15177",0.00,11.04,,,0.12,,,,,0.00,0.00,0.00,0.00,0.00
,"000004","Truck",,"DC_1",01/18/2016 18:16,01/19/2016 06:50,899.45,0.00,0.00,691.21,0.00,0.00,0.00,192.00,0.00,0.00,1000.00,754.05,754.05,754.05,0.00,0.00,0.00,0.00,0.00,1200.00,829.45,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,"0",,01/18/2016 18:16,01/19/2016 06:50,0,N,2,192.00,0.00,0.00,1,192.00,0.00,0.00,0.19,"000004","1",,,,,357.76,"15178",0.00,10.93,,,0.14,,,,,0.00,0.00,0.00,0.00,0.00
,"000005","Truck",,"DC_1",01/02/2016 18:16,01/03/2016 00:00,412.78,0.00,0.00,314.82,0.00,0.00,0.00,188.00,0.00,0.00,1000.00,343.44,343.44,343.44,0.00,0.00,0.00,0.00,0.00,1200.00,377.78,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,01/02/2016 18:16,01/03/2016 00:00,0,N,1,188.00,0.00,0.00,1,188.00,0.00,0.00,0.19,"000005","1",,,,,0.00,"15179",0.00,8.58,,,0.19,,,,,0.00,0.00,0.00,0.00,0.00
,"000006","Truck",,"DC_1",02/08/2016 18:16,02/09/2016 06:50,899.45,0.00,0.00,691.21,0.00,0.00,0.00,187.00,0.00,0.00,1000.00,754.05,754.05,754.05,0.00,0.00,0.00,0.00,0.00,1200.00,829.45,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,1.07,"0",,02/08/2016 18:16,02/09/2016 06:50,0,N,2,187.00,0.00,0.00,1,187.00,0.00,0.00,0.19,"000006","1",,,,,357.76,"15180",0.00,11.23,,,0.14,,,,,0.00,0.00,0.00,0.00,0.00
,"000007","Truck",,"DC_1",03/06/2016 20:33,03/07/2016 00:00,262.64,0.00,0.00,189.70,0.00,0.00,0.00,100.00,0.00,0.00,1000.00,206.94,206.94,206.94,0.00,0.00,0.00,0.00,0.00,1200.00,227.64,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,03/06/2016 20:33,03/07/2016 00:00,0,N,1,100.00,0.00,0.00,1,100.00,0.00,0.00,0.10,"000007","1",,,,,0.00,"15181",0.00,14.63,,,0.10,,,,,0.00,0.00,0.00,0.00,0.00
,"000008","Truck",,"DC_1",02/17/2016 13:20,02/18/2016 06:50,1260.06,0.00,0.00,962.55,0.00,0.00,0.00,356.00,0.00,0.00,1000.00,1050.05,1050.05,1050.05,0.00,0.00,0.00,0.00,0.00,1200.00,1155.06,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,"0",,02/17/2016 13:20,02/18/2016 06:50,0,N,3,356.00,0.00,0.00,1,356.00,0.00,0.00,0.36,"000008","1",,,,,629.10,"15182",0.00,6.91,,,0.22,,,,,0.00,0.00,0.00,0.00,0.00
,"000009","Truck",,"DC_1",01/05/2016 23:59,01/08/2016 00:00,1260.06,0.00,0.00,962.55,0.00,0.00,0.00,468.00,0.00,0.00,1000.00,2880.94,2880.94,1050.05,0.00,0.00,1830.89,0.00,0.00,1200.00,1155.06,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,"0",,01/05/2016 23:59,01/08/2016 00:00,0,N,3,468.00,0.00,0.00,1,468.00,0.00,0.00,0.47,"000009","1",,,,,629.10,"15183",0.00,5.26,,,0.29,,,,,0.00,0.00,0.00,0.00,0.00
,"000010","Truck",,"DC_1",11/28/2016 20:33,11/29/2016 00:00,262.64,0.00,0.00,189.70,0.00,0.00,0.00,100.00,0.00,0.00,1000.00,206.94,206.94,206.94,0.00,0.00,0.00,0.00,0.00,1200.00,227.64,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0",,11/28/2016 20:33,11/29/2016 00:00,0,N,1,100.00,0.00,0.00,1,100.00,0.00,0.00,0.10,"000010","1",,,,,0.00,"15184",0.00,14.63,,,0.10,,,,,0.00,0.00,0.00,0.00,0.00
