vrpNumber, segmentId, routeId, sequenceId, startStopId, endStopId, startDateTime, endDateTime, distance, operatingTime, carryShipments, startDateTimeLocal, endDateTimeLocal, bool_01, debugRouteId, additiveCost
,"1","000001","1","1","2",02/05/2016 06:29,02/05/2016 09:56,189.70,206.94,,02/05/2016 06:29,02/05/2016 09:56,"N","15175",0.00
,"2","000001","2","2","3",02/05/2016 09:56,02/05/2016 17:09,396.46,432.50,,02/05/2016 09:56,02/05/2016 17:09,"N","15175",0.00
,"3","000001","3","3","4",02/05/2016 17:09,02/06/2016 00:00,376.39,410.61,,02/05/2016 17:09,02/06/2016 00:00,"N","15175",0.00
,"4","000002","1","5","6",03/30/2016 18:16,03/31/2016 00:00,314.82,343.44,,03/30/2016 18:16,03/31/2016 00:00,"N","15176",0.00
,"5","000002","2","6","7",03/31/2016 00:00,03/31/2016 06:50,376.39,410.61,,03/31/2016 00:00,03/31/2016 06:50,"N","15176",0.00
,"6","000003","1","8","9",03/22/2016 20:33,03/23/2016 00:00,189.70,206.94,,03/22/2016 20:33,03/23/2016 00:00,"N","15177",0.00
,"7","000003","2","9","10",03/23/2016 00:00,03/23/2016 09:06,500.74,546.26,,03/23/2016 00:00,03/23/2016 09:06,"N","15177",0.00
,"8","000004","1","11","12",01/18/2016 18:16,01/19/2016 00:00,314.82,343.44,,01/18/2016 18:16,01/19/2016 00:00,"N","15178",0.00
,"9","000004","2","12","13",01/19/2016 00:00,01/19/2016 06:50,376.39,410.61,,01/19/2016 00:00,01/19/2016 06:50,"N","15178",0.00
,"10","000005","1","14","15",01/02/2016 18:16,01/03/2016 00:00,314.82,343.44,,01/02/2016 18:16,01/03/2016 00:00,"N","15179",0.00
,"11","000006","1","16","17",02/08/2016 18:16,02/09/2016 00:00,314.82,343.44,,02/08/2016 18:16,02/09/2016 00:00,"N","15180",0.00
,"12","000006","2","17","18",02/09/2016 00:00,02/09/2016 06:50,376.39,410.61,,02/09/2016 00:00,02/09/2016 06:50,"N","15180",0.00
,"13","000007","1","19","20",03/06/2016 20:33,03/07/2016 00:00,189.70,206.94,,03/06/2016 20:33,03/07/2016 00:00,"N","15181",0.00
,"14","000008","1","21","22",02/17/2016 13:20,02/17/2016 16:47,189.70,206.94,,02/17/2016 13:20,02/17/2016 16:47,"N","15182",0.00
,"15","000008","2","22","23",02/17/2016 16:47,02/18/2016 00:00,396.46,432.50,,02/17/2016 16:47,02/18/2016 00:00,"N","15182",0.00
,"16","000008","3","23","24",02/18/2016 00:00,02/18/2016 06:50,376.39,410.61,,02/18/2016 00:00,02/18/2016 06:50,"N","15182",0.00
,"17","000009","1","25","26",01/06/2016 00:00,01/06/2016 03:26,189.70,206.94,,01/06/2016 00:00,01/06/2016 03:26,"N","15183",0.00
,"18","000009","2","26","27",01/06/2016 03:26,01/06/2016 10:39,396.46,432.50,,01/06/2016 03:26,01/06/2016 10:39,"N","15183",0.00
,"19","000009","3","27","28",01/06/2016 10:39,01/06/2016 17:30,376.39,410.61,,01/06/2016 10:39,01/06/2016 17:30,"N","15183",0.00
,"20","000010","1","29","30",11/28/2016 20:33,11/29/2016 00:00,189.70,206.94,,11/28/2016 20:33,11/29/2016 00:00,"N","15184",0.00
,"21","000011","1","31","32",10/02/2016 20:33,10/03/2016 00:00,189.70,206.94,,10/02/2016 20:33,10/03/2016 00:00,"N","15185",0.00
,"22","000012","1","33","34",05/17/2016 17:56,05/18/2016 00:00,333.45,363.77,,05/17/2016 17:56,05/18/2016 00:00,"N","15186",0.00
,"23","000013","1","35","36",02/19/2016 20:33,02/20/2016 00:00,189.70,206.94,,02/19/2016 20:33,02/20/2016 00:00,"N","15187",0.00
,"24","000013","2","36","37",02/20/2016 00:00,02/20/2016 09:06,500.74,546.26,,02/20/2016 00:00,02/20/2016 09:06,"N","15187",0.00
,"25","000014","1","38","39",04/08/2016 20:33,04/09/2016 00:00,189.70,206.94,,04/08/2016 20:33,04/09/2016 00:00,"N","15188",0.00
